Team,Victories,Losses,Total,WinRate
1102,0,2,2,0
1103,0,4,4,0
1104,18,15,33,0.55
1105,0,1,1,0
1106,0,4,4,0
1107,1,5,6,0.17
1108,0,2,2,0
1110,0,3,3,0
1111,0,1,1,0
1112,52,29,81,0.64
1113,5,5,10,0.5
1114,2,5,7,0.29
1115,1,1,2,0.5
1116,29,17,46,0.63
1117,0,1,1,0
1120,12,7,19,0.63
1122,1,5,6,0.17
1123,3,6,9,0.33
1124,8,7,15,0.53
1125,0,7,7,0
1127,0,1,1,0
1129,0,6,6,0
1130,13,11,24,0.54
1131,0,5,5,0
1133,3,4,7,0.43
1135,0,1,1,0
1137,2,6,8,0.25
1138,0,2,2,0
1139,19,13,32,0.59
1140,7,18,25,0.28
1141,1,2,3,0.33
1142,1,1,2,0.5
1143,9,14,23,0.39
1144,0,1,1,0
1145,0,1,1,0
1148,0,3,3,0
1149,0,1,1,0
1150,4,10,14,0.29
1151,2,8,10,0.2
1153,24,20,44,0.55
1155,6,10,16,0.38
1156,3,2,5,0.6
1157,0,4,4,0
1158,1,4,5,0.2
1159,0,2,2,0
1160,2,6,8,0.25
1161,2,5,7,0.29
1163,55,16,71,0.77
1164,1,4,5,0.2
1165,2,4,6,0.33
1166,6,12,18,0.33
1167,0,1,1,0
1168,0,1,1,0
1169,0,2,2,0
1172,3,9,12,0.25
1173,7,9,16,0.44
1174,0,5,5,0
1175,0,1,1,0
1177,7,9,16,0.44
1178,2,3,5,0.4
1179,0,1,1,0
1180,1,4,5,0.2
1181,90,26,116,0.78
1183,0,2,2,0
1184,0,3,3,0
1185,3,4,7,0.43
1186,0,2,2,0
1187,0,1,1,0
1190,1,8,9,0.11
1191,1,4,5,0.2
1192,0,5,5,0
1193,0,3,3,0
1194,0,1,1,0
1195,3,2,5,0.6
1196,42,17,59,0.71
1197,1,3,4,0.25
1198,0,1,1,0
1199,10,10,20,0.5
1200,0,1,1,0
1201,1,3,4,0.25
1203,4,9,13,0.31
1204,0,2,2,0
1206,5,6,11,0.45
1207,33,21,54,0.61
1208,4,11,15,0.27
1209,2,3,5,0.4
1210,22,15,37,0.59
1211,24,19,43,0.56
1214,2,6,8,0.25
1217,2,4,6,0.33
1218,1,4,5,0.2
1220,0,2,2,0
1221,1,6,7,0.14
1222,0,4,4,0
1224,0,1,1,0
1225,0,2,2,0
1226,0,1,1,0
1227,0,3,3,0
1228,28,22,50,0.56
